shortcut,name,explanation,options
GT,graphic type,"Graphic type defines the graphic type, that is used for graphic output.",
GSH,group filter,"This option filters peptides  seperatly in each set group that is defined in the column ""group.filter"" in the experimental design file. Therefor a valid path to experimental design file has to be set in tab paths. The effect is on the function ""Percentage of allowed NA"" in the tab ""Peptides -> Protein"".",
GSC,group scaling,"This option scales peptides independendly for each  set group that is defined in the column ""group"" in the experimental design file. Therefor a valid path to experimental design file has to be set in tab paths. The entries in this column will be used for coloring if they have been changed.",
MSMS,Include all MSMS,Include all MSMS scans of a peptide for calculation. Only for MaxQuant.,
kMC,kMeans-Cluster,Defines the number of expected clusters from the identified proteins performing a kmeans clustering. If the number is higher or equal to number of proteins than the number of clusters is automatically set to 2.,
LF,Label Free,"This option uses label free intensities for calculation.
""fraction of total"" 
normalizes intensities of each raw file on sum of the belonging intensities.
""fot plus n correction""
uses fraction of total normalization and tries to compensate relative effects caused by different numbers of identifications (n) with an additional factor.  
""no normalization""
uses raw intensities for calculation.n""50% sd"" uses peptides with a variation lower than median sd across all samples.",
LN,Labeled Normalization,Activates normalization based on a isotopic labeled peptide intensities. Creates ratios by dividing intensities of labeled peptides through unlabeled intensities. If enabled RPN option is not considered. For this option a second intensity type  from the labeled peptides  is needed.,
LOG,log2,Treats intensity ratios with log2. Inf is replaced with 9999 and -Inf with -9999,
LRT,Log2 ratio threshold ,This option affects statistics in volcano plot analysis. Data points with a significant difference are not colored  or counted if their absolute log2 ratio  the setted threshold in percent.,
MAPL,mapping list,This option lets you choose between of the imported mappings of cRacker. Be careful to choose a library that includes the same accessions as in your dataset.,
MPL,Minimal Peptide Length,Set minimal length of peptides in number of aminoacids that are accepted for empai calculation.,
MTC,multiple testing correction,Type of correction of p values to reduce multiple comparisons problem. For explanation of optional methods see documentation of p.adjust function in R base package.,
OE,Outlier Exclusion,"Excludes outliers of a pool of peptides that will be averaged to protein intensity. Intensities that lie outside whiskers (1.5 of interquartile range) are defined as outliers. 
>Outside both whiskers<
excludes peptides that are outside of the upper as well the lower whisker. The pool of peptides consists of all peptides of one protein across all replicates or only of a peptide species across replicates if >Scaling across samples< is disabled.
 >Outside lower whisker<
excludes only peptides that are outside the lower whisker. Here the pool of peptides consists always of all peptides of one protein across all replicates. 
>top3<
chooses the three peptides with the highest intensities out of the pool of all peptides of one protein across all replicates.",
PANOVA,P Value for Anova/tTest,Defines the p value to define significant difference between the protein intensities comparing all samples.,
PD,Peptide Duplicates,This option controls how to proceed with not expected duplicate identifications of a peptide species in each raw file. It is recommended to exclude peptide duplicates or to use the maximal value.,
PST,Peptide Score Threshold,"All peptides with a score below this threshold will be excluded from the calculation. To except all peptides, use score 0.",
PoaN,Percentage of allowed NA,"With this option you select the minimal number of events, in which a Peptide has to be measured over all conditions. It's in % of the number of conditions.
 !!!!Rational values will be rounded to Integers.",
PP,Phospho Peptides,"Activates analysis of modified peptides, that gives out additional plots and tables. Only phosphyrylations will thereby be considered. Matrix with modified peptides is split from pure peptides after normalization. This option is still in development.",
PN,plot network,This option enables the automated plotting of your network. Only correlations higher 0.9 are used. This option is experimental.,
SPPT,protein plot type,"This option changes the plot type of single protein series. Options different from barplot and lineplot require usage of a cRacker experimental design (ED) file.
""barplot""
Creates ungrouped but name ordered barplot figures of values (no ED file needed).
""grouped barplot (based on time column)""
Creates grouped barplots based on Time column in ED file.
""lineplot""
Creates a line plot with according sample names on the x axis (no ED file needed).
""time series""
Creates grouped line plots based on Time column in ED file. Groups are named and colored according to Group column in ED.",
QM,Quantitation Method,This button switches between the emPAI graphical user interface (GUI) and the ion intensity GUI. For emPAI calculations a  proper  protein sequence database needs to be imported into cRacker.,
RL,Reference list,Choose the right reference list for emPAI calulcation.,
RP,Reference Protein,Define the Accession code of your reference Protein. Default is BSA.,
RPN,Reference Protein Normalization,"Creates mean factors based on intensities of spiked reference protein contaminant.All intensities in one raw file are multiplied with its distinct ""raw-file-factor"".",
SAVE,Save Settings for next session...,"Save current settings of your session.
>use standard settings< switchs all parameters back to default after clicking the Start button.",
SaS,Scaling across Samples,This option scales peptide intensities across samples. With this option each peptide will be normalized on the mean value of all measured intensities of this peptide in all samples.,
SM,Scaling Method,"Method for scaling peptides. For >mean< and >median< intensities are divided through the correspondend mean or median of each peptide. 
Z-scores are linearly transformed to positiv values to make them compatible with possible log2 transformation.",
SfR,Statistics from results.Rdata,"Can be used, if binary.Rdata has been already calculated and saved. This option loads processed data from the set folder and overgoes recalculation of intensities. Use with care, may not work with all options.",
MAP,use Mappings,"""Use Mappings"" activates the mapping of the accessions in the protein list against an imported mapping library.",
VP,Volcano plot,"Performs crosswise comparissons, plotting volcano plots of your data. Be careful, number of sample size increases calculation time exponentially.",
XL,x axis label,"Only used if ""time series"" is used in ""protein plot type"" option. Changes the x axis label.",
ZH,Zero Handling,Option to replace intensities of value 0 with a number or NA (not available).,
manual.import,Import,"cRacker imports text files including lists of quantified peptides. These lists need to be in a separate folder, which is your working directory. After starting cRacker you first have to select your working directory containing your peptidelists. Additionally you need to choose the used quantitation engine that has been used to create these lists. In case you need to reload a specific parameter combination you can load it from a parameters.Rdata file from a previous cRacker calculation. Consider, that a created experimental design file needs still to be loaded by hand.",
